IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.27.51.251,10,10,0.00,182.83,0.00,LAX
104.16.190.82,10,10,0.00,182.85,0.00,LAX
104.16.229.177,10,10,0.00,182.86,0.00,LAX
172.66.44.17,10,10,0.00,182.86,0.00,LAX
104.27.7.254,10,10,0.00,182.95,0.00,LAX
104.25.76.171,10,10,0.00,183.00,0.00,LAX
104.17.2.144,10,10,0.00,183.01,0.00,LAX
172.64.159.237,10,10,0.00,183.03,0.00,LAX
104.16.138.92,10,10,0.00,183.03,0.00,LAX
104.24.22.77,10,10,0.00,183.06,0.00,LAX
104.18.82.228,10,10,0.00,183.07,0.00,LAX
104.25.212.25,10,10,0.00,183.10,0.00,LAX
104.16.156.239,10,10,0.00,183.16,0.00,LAX
104.18.121.166,10,10,0.00,183.19,0.00,LAX
198.41.215.2,10,10,0.00,183.19,0.00,LAX
172.64.50.212,10,10,0.00,183.20,0.00,LAX
104.25.90.131,10,10,0.00,183.20,0.00,LAX
104.16.180.111,10,10,0.00,183.28,0.00,LAX
104.25.205.64,10,10,0.00,183.30,0.00,LAX
198.41.205.244,10,10,0.00,183.30,0.00,LAX
104.16.131.91,10,10,0.00,183.32,0.00,LAX
104.16.231.196,10,10,0.00,183.34,0.00,LAX
172.66.42.228,10,10,0.00,183.36,0.00,LAX
104.25.153.213,10,10,0.00,183.40,0.00,LAX
172.66.3.215,10,10,0.00,183.40,0.00,LAX
162.159.244.204,10,10,0.00,183.42,0.00,LAX
198.41.198.41,10,10,0.00,183.43,0.00,LAX
104.24.235.97,10,10,0.00,183.45,0.00,LAX
104.16.161.38,10,10,0.00,183.46,0.00,LAX
198.41.209.40,10,10,0.00,183.52,0.00,LAX
104.24.208.86,10,10,0.00,183.54,0.00,LAX
104.24.184.66,10,10,0.00,183.55,0.00,LAX
104.16.155.54,10,10,0.00,183.56,0.00,LAX
104.24.202.210,10,10,0.00,183.56,0.00,LAX
172.65.240.81,10,10,0.00,183.57,0.00,LAX
104.24.53.160,10,10,0.00,183.60,0.00,LAX
104.27.87.126,10,10,0.00,183.67,0.00,LAX
104.16.184.24,10,10,0.00,183.68,0.00,LAX
104.24.188.172,10,10,0.00,183.78,0.00,LAX
104.25.145.72,10,10,0.00,183.80,0.00,LAX
104.16.103.101,10,10,0.00,183.81,0.00,LAX
104.16.179.39,10,10,0.00,183.84,0.00,LAX
162.159.23.189,10,10,0.00,183.89,0.00,LAX
104.18.110.64,10,10,0.00,183.89,0.00,LAX
104.24.44.37,10,10,0.00,183.98,0.00,LAX
198.41.208.121,10,10,0.00,183.99,0.00,LAX
104.25.13.111,10,10,0.00,184.00,0.00,LAX
104.25.118.14,10,10,0.00,184.00,0.00,LAX
104.25.198.143,10,10,0.00,184.00,0.00,LAX
172.64.176.177,10,10,0.00,184.04,0.00,LAX
104.16.146.115,10,10,0.00,184.06,0.00,LAX
104.16.218.215,10,10,0.00,184.08,0.00,LAX
104.16.181.191,10,10,0.00,184.11,0.00,LAX
104.16.202.47,10,10,0.00,184.12,0.00,LAX
104.16.113.24,10,10,0.00,184.13,0.00,LAX
104.16.159.29,10,10,0.00,184.16,0.00,LAX
104.17.36.23,10,10,0.00,184.20,0.00,LAX
162.159.17.80,10,10,0.00,184.20,0.00,LAX
104.25.43.142,10,10,0.00,184.30,0.00,LAX
104.18.11.68,10,10,0.00,184.32,0.00,LAX
